discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
2 - discutir na rodada seguinte,0.15184789049869718,2622,Fabricação de periféricos para equipamentos de informática,3082477589.864879,2967382417.007361,115095172.8575184,-2852287244.1498427,17104425.0,0.4925554663167273,False,valor comercial alto; depend?ncia externa alta
2 - discutir na rodada seguinte,0.13376554343531555,1012,"Abate de suínos, aves e outros pequenos animais",6710008365.958618,96119674.712053,6613888691.246565,6517769016.534512,221135172.0,0.0027865762715107,False,valor comercial alto; forte peso exportador
2 - discutir na rodada seguinte,0.11549894023360824,1041,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",6292453639.60242,413919480.2966353,5878534159.305784,5464614679.009149,93146356.0,0.0350474731824946,False,valor comercial alto; forte peso exportador
2 - discutir na rodada seguinte,0.08177751864260112,1071,Fabricação de açúcar em bruto,3981495526.184889,89358753.16501978,3892136773.019869,3802778019.854848,144050686.0,0.0038999534353621,False,valor comercial alto; forte peso exportador
2 - discutir na rodada seguinte,0.054079474802936275,1013,Fabricação de produtos de carne,3077395440.2537217,46822629.31198831,3030572810.9417334,2983750181.629745,39708934.0,0.0106885252204633,False,valor comercial alto; forte peso exportador
3 - monitorar,0.21605095724152745,3041,Fabricação de aeronaves,2953885896.6308126,1156343485.001516,1797542411.6292963,641198926.6277804,22128583.0,0.3339374640882188,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.20623343713314043,2443,Metalurgia do cobre,2392658827.0,1988613969.0,404044858.0,-1584569111.0,25191688.0,0.31784237944875,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.20595121262611926,2942,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,1704267820.8812137,1548483894.180928,155783926.7002857,-1392699967.4806423,14503144.0,0.3793031365364515,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.2006568690653827,2945,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",2088465688.2197685,1766953215.8300734,321512472.38969505,-1445440743.4403782,22299009.0,0.3166014667698203,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.1947700238111975,2852,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",990540835.0899175,864783294.9692101,125757540.12070736,-739025754.8485028,8065409.0,0.3869568062998075,True,depend?ncia externa alta; relevante para transi??o energ?tica
