year,cnae_class,tsb_associated,tsb_grupo_exposicao,tsb_exposicao_scn67_max,formal_jobs,wage_mass,december_wage_mass
2024,8630,False,Sem exposicao TSB direta,0.0,577974,1691431860.91,1691431860.91
2024,8112,False,Sem exposicao TSB direta,0.0,554150,1513110336.07,1513110336.07
2024,8424,False,Sem exposicao TSB direta,0.0,550330,3974302980.38,3974302980.38
2024,7820,False,Sem exposicao TSB direta,0.0,548168,1152655039.85,1152655039.85
2024,8412,False,Sem exposicao TSB direta,0.0,544819,2807364366.86,2807364366.86
2024,4530,False,Sem exposicao TSB direta,0.0,511401,1422379051.14,1422379051.14
2024,8220,False,Sem exposicao TSB direta,0.0,492824,978164597.55,978164597.55
2024,9430,False,Sem exposicao TSB direta,0.0,442158,1364272899.17,1364272899.17
2024,8299,False,Sem exposicao TSB direta,0.0,441331,1314197784.04,1314197784.04
2024,4712,False,Sem exposicao TSB direta,0.0,424702,770267622.88,770267622.88
2024,5620,False,Sem exposicao TSB direta,0.0,402229,835242254.39,835242254.39
2024,1412,False,Sem exposicao TSB direta,0.0,399227,920819893.94,920819893.94
2024,1512,False,Sem exposicao TSB direta,0.0,395808,923155299.1,923155299.1
2024,4731,False,Sem exposicao TSB direta,0.0,392666,953702610.43,953702610.43
2024,1012,False,Sem exposicao TSB direta,0.0,390319,1108292896.8,1108292896.8
2024,4789,False,Sem exposicao TSB direta,0.0,389704,973485188.26,973485188.26
2024,4921,False,Sem exposicao TSB direta,0.0,386938,1198965716.11,1198965716.11
2024,8422,False,Sem exposicao TSB direta,0.0,380239,2570670356.21,2570670356.21
2024,8111,False,Sem exposicao TSB direta,0.0,366870,638895903.34,638895903.34
2024,8599,False,Sem exposicao TSB direta,0.0,359993,1271286404.66,1271286404.66
2024,8520,False,Sem exposicao TSB direta,0.0,354360,1901249012.74,1901249012.74
2024,5510,False,Sem exposicao TSB direta,0.0,352385,860626087.35,860626087.35
2024,8531,False,Sem exposicao TSB direta,0.0,350886,2978000944.6,2978000944.6
2024,8532,False,Sem exposicao TSB direta,0.0,333805,2543207354.65,2543207354.65
2024,6920,False,Sem exposicao TSB direta,0.0,332471,1033640291.22,1033640291.22
2024,7112,False,Sem exposicao TSB direta,0.0,327076,1322112409.76,1322112409.76
2024,8660,False,Sem exposicao TSB direta,0.0,319174,1698897000.07,1698897000.07
2024,8640,False,Sem exposicao TSB direta,0.0,309893,909018791.78,909018791.78
2024,8423,False,Sem exposicao TSB direta,0.0,305274,5425505437.79,5425505437.79
2024,6422,False,Sem exposicao TSB direta,0.0,304751,3372948798.86,3372948798.86
