cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
147,2320,True,1,23206,2300,Fabricação de produtos de minerais não-metálicos,0.2389,Exposicao intermediaria TSB,Exposição parcial em setor heterogêneo.
148,2330,False,0,,,,0.0,Sem exposicao TSB direta,
149,2341,False,0,,,,0.0,Sem exposicao TSB direta,
150,2342,False,0,,,,0.0,Sem exposicao TSB direta,
151,2349,False,0,,,,0.0,Sem exposicao TSB direta,
152,2391,False,0,,,,0.0,Sem exposicao TSB direta,
153,2392,False,0,,,,0.0,Sem exposicao TSB direta,
154,2399,False,0,,,,0.0,Sem exposicao TSB direta,
155,2411,True,1,24113,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.8140000000000001,Alta exposicao TSB,"Setor industrial de transição, com forte peso em atividades compatíveis."
156,2412,False,0,,,,0.0,Sem exposicao TSB direta,
157,2421,True,1,24211,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.8140000000000001,Alta exposicao TSB,"Setor industrial de transição, com forte peso em atividades compatíveis."
158,2422,True,1,24229,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.8140000000000001,Alta exposicao TSB,"Setor industrial de transição, com forte peso em atividades compatíveis."
159,2423,True,1,24237,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.8140000000000001,Alta exposicao TSB,"Setor industrial de transição, com forte peso em atividades compatíveis."
160,2424,True,1,24245,2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.8140000000000001,Alta exposicao TSB,"Setor industrial de transição, com forte peso em atividades compatíveis."
161,2431,False,0,,,,0.0,Sem exposicao TSB direta,
162,2439,False,0,,,,0.0,Sem exposicao TSB direta,
163,2441,True,1,24415,2492,Metalurgia de metais não-ferosos e a fundição de metais,0.3014,Exposicao intermediaria TSB,"Parcela compatível relevante, mas minoritária."
164,2442,False,0,,,,0.0,Sem exposicao TSB direta,
165,2443,False,0,,,,0.0,Sem exposicao TSB direta,
166,2449,False,0,,,,0.0,Sem exposicao TSB direta,
167,2451,False,0,,,,0.0,Sem exposicao TSB direta,
168,2452,False,0,,,,0.0,Sem exposicao TSB direta,
169,2511,False,0,,,,0.0,Sem exposicao TSB direta,
170,2512,True,1,25128,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",0.0886,Exposicao intermediaria TSB,"Exposição baixa, com predominância de atividades convencionais."
171,2513,False,0,,,,0.0,Sem exposicao TSB direta,
172,2521,False,0,,,,0.0,Sem exposicao TSB direta,
173,2522,False,0,,,,0.0,Sem exposicao TSB direta,
174,2531,False,0,,,,0.0,Sem exposicao TSB direta,
175,2532,False,0,,,,0.0,Sem exposicao TSB direta,
176,2539,False,0,,,,0.0,Sem exposicao TSB direta,
177,2541,False,0,,,,0.0,Sem exposicao TSB direta,
178,2542,False,0,,,,0.0,Sem exposicao TSB direta,
179,2543,False,0,,,,0.0,Sem exposicao TSB direta,
180,2550,False,0,,,,0.0,Sem exposicao TSB direta,
181,2591,False,0,,,,0.0,Sem exposicao TSB direta,
182,2592,False,0,,,,0.0,Sem exposicao TSB direta,
183,2593,False,0,,,,0.0,Sem exposicao TSB direta,
184,2599,False,0,,,,0.0,Sem exposicao TSB direta,
185,2610,False,0,,,,0.0,Sem exposicao TSB direta,
186,2621,False,0,,,,0.0,Sem exposicao TSB direta,
187,2622,False,0,,,,0.0,Sem exposicao TSB direta,
188,2631,False,0,,,,0.0,Sem exposicao TSB direta,
189,2632,False,0,,,,0.0,Sem exposicao TSB direta,
190,2640,False,0,,,,0.0,Sem exposicao TSB direta,
